track_id,track_name,artist_id,album_id,duration,release_date,popularity,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo
7MZF7YLxOP2to9iblSulLc,Modern Loneliness,5JZ7CnR6gTvEMKX4g70Amv,spotify:album:0YuPbtHpnpGEhyjg0rCyEi,252337,2020-02-20,73,0.702,0.508,8,-7.105,1,0.035,0.144,0.0,0.108,0.143,82.008
2QyuXBcV1LJ2rq01KhreMF,ON,3Nrfpe0tUJi4K4DXYWgMUX,spotify:album:6mJZTV8lCqnwftYZa94bXS,246380,2020-02-21,86,0.583,0.817,9,-5.146,0,0.0987,0.118,0.0,0.338,0.438,105.936
4AlihYDqxXshKhvh5tnMfP,00:00 (Zero O’Clock),3Nrfpe0tUJi4K4DXYWgMUX,spotify:album:6mJZTV8lCqnwftYZa94bXS,250295,2020-02-21,80,0.566,0.548,1,-6.456,1,0.0579,0.0802,0.0,0.11,0.196,157.999
3bkkMZEAhx7rTVz1C0itRQ,Black Swan,3Nrfpe0tUJi4K4DXYWgMUX,spotify:album:6mJZTV8lCqnwftYZa94bXS,198260,2020-02-21,79,0.719,0.758,2,-5.167,0,0.0851,0.137,0.0,0.129,0.49,147.023
7w05lsU2VLSeiT8Nukrv5M,Friends,3Nrfpe0tUJi4K4DXYWgMUX,spotify:album:6mJZTV8lCqnwftYZa94bXS,199338,2020-02-21,79,0.55,0.747,1,-5.211,1,0.0407,0.0668,0.0,0.0536,0.648,79.98
4vTgx6h4seHvkuFh84JXYP,My Time,3Nrfpe0tUJi4K4DXYWgMUX,spotify:album:6mJZTV8lCqnwftYZa94bXS,234457,2020-02-21,81,0.674,0.64,0,-5.139,0,0.0339,0.151,0.0,0.0925,0.664,99.908
3op7HNwLli54MBjFGzIlZO,Louder than bombs,3Nrfpe0tUJi4K4DXYWgMUX,spotify:album:6mJZTV8lCqnwftYZa94bXS,217404,2020-02-21,80,0.643,0.667,0,-6.993,0,0.152,0.0433,0.0,0.0904,0.485,145.999
4BKOjYosPhw334moS3wlbO,Inner Child,3Nrfpe0tUJi4K4DXYWgMUX,spotify:album:6mJZTV8lCqnwftYZa94bXS,233265,2020-02-21,79,0.589,0.696,11,-7.981,1,0.0725,0.017,0.0,0.0808,0.332,134.953
44WLOqH7QayQOQdeUHeKUK,We are Bulletproof : the Eternal,3Nrfpe0tUJi4K4DXYWgMUX,spotify:album:6mJZTV8lCqnwftYZa94bXS,261542,2020-02-21,80,0.526,0.575,9,-5.215,0,0.0309,0.225,0.0,0.108,0.19,84.047
3r9FFjLrAIQjoR8pSHVPC9,Outro : Ego,3Nrfpe0tUJi4K4DXYWgMUX,spotify:album:6mJZTV8lCqnwftYZa94bXS,196198,2020-02-21,78,0.808,0.903,0,-3.106,1,0.0958,0.0121,0.000233,0.0993,0.473,116.988
37TSJmYKLxXmx8OehFpqMN,Respect,3Nrfpe0tUJi4K4DXYWgMUX,spotify:album:6mJZTV8lCqnwftYZa94bXS,237540,2020-02-21,76,0.661,0.84,0,-4.805,1,0.116,0.00485,0.0,0.287,0.524,91.457
6XXYdF6pJR1K3wKvuxmu7n,Feel Me,0C8ZW7ezQVs4URX5aX7Kqx,spotify:album:6gldP4RkBjKhVb6SgeVuFd,226002,2020-02-21,84,0.71,0.808,2,-6.703,0,0.0433,0.44,0.000773,0.0734,0.392,99.989
22LAwLoDA5b4AaGSkg6bKW,Blueberry Faygo,5zctI4wO9XSKS8XwcnqEHk,spotify:album:2a1AHCq835BXUcX1aTTWqQ,162546,2020-02-06,85,0.774,0.554,0,-7.909,1,0.0383,0.207,0.0,0.132,0.349,99.034
54b8IPvheXDpro2VR2rWAS,Ivana,2EGJbNf0Hva2C2N6hvhMXD,spotify:album:10stEx5J17TekHdjeh9dOJ,246550,2020-01-06,70,0.87,0.483,8,-7.441,1,0.297,0.281,0.0,0.0526,0.611,100.012
2ctqjxISMsrkCg7YdGkECu,Normalan,6ogIjp0fsbUxlqy9q2rvrT,spotify:album:2K8iiECJSWOrnctPw0V7MO,223157,2020-02-21,62,0.765,0.438,8,-12.356,1,0.0558,0.524,1.54e-05,0.194,0.506,114.011
4z1rk9qlsqhp5LJm5qvXZF,Mean It,5JZ7CnR6gTvEMKX4g70Amv,spotify:album:0YuPbtHpnpGEhyjg0rCyEi,232853,2020-02-20,69,0.746,0.45,7,-8.543,1,0.0872,0.0407,0.0,0.172,0.336,95.998
33N0DfqkeNyir1emyxNVG5,Tattoos Together,5JZ7CnR6gTvEMKX4g70Amv,spotify:album:0YuPbtHpnpGEhyjg0rCyEi,186613,2020-02-20,66,0.862,0.4,4,-7.486,1,0.0736,0.00575,7.49e-06,0.123,0.596,122.963
0pHjZH7OkpgqSamCuophui,Feelings,5JZ7CnR6gTvEMKX4g70Amv,spotify:album:0YuPbtHpnpGEhyjg0rCyEi,189613,2020-02-20,60,0.694,0.466,9,-6.758,1,0.0384,0.0934,0.0,0.098,0.246,103.018
3Hig6FDiszzWDPIKSP9swE,"fuck, i'm lonely",5JZ7CnR6gTvEMKX4g70Amv,spotify:album:0YuPbtHpnpGEhyjg0rCyEi,198973,2020-02-20,63,0.806,0.558,9,-6.46,1,0.0683,0.482,0.0,0.0618,0.678,95.016
58GV8DCjojFSplLejcHIYu,i'm so tired...,5JZ7CnR6gTvEMKX4g70Amv,spotify:album:0YuPbtHpnpGEhyjg0rCyEi,162582,2020-02-20,63,0.599,0.733,11,-7.058,1,0.203,0.176,0.0,0.242,0.534,102.211
6C2BUJcHeWqFX7uKBDWXoT,Changes,5JZ7CnR6gTvEMKX4g70Amv,spotify:album:0YuPbtHpnpGEhyjg0rCyEi,160186,2020-02-20,62,0.532,0.455,2,-8.366,1,0.156,0.452,0.0,0.237,0.204,148.182
3PgjBOoA5OytNGkglObpOd,Sa Susunod na Habang Buhay,4DAcJXcjX0zlQAZAPAx4Zb,spotify:album:0U3q2NgWn97Fsns6dg7CzD,288189,2020-02-28,74,0.311,0.342,2,-8.889,1,0.032,0.432,1.93e-06,0.114,0.274,177.158
5RUUkFNqH3GRKHg1xjprOb,Old Me,5Rl15oVamLq7FbSb0NNBNy,spotify:album:4VaepdvunK8gHTIdSeiHsC,184666,2020-02-21,80,0.721,0.621,0,-3.639,1,0.0483,0.304,0.0,0.266,0.473,127.976
