artist_id,artist_name,total_followers,genres,popularity
2cQr2KbzdRtIFlfbHGnNsL,Ziv Zaifman,5921,['show tunes'],61
5F1aoppMtU3OMiltO8ymJ2,Hugh Jackman,513382,"['hollywood', 'show tunes']",72
4k9wp4ipHdA1bu1T4x1ZTG,IV Of Spades,1167184,"['opm', 'pinoy indie', 'pinoy rock', 'pinoy trap']",61
2LAqcqAQ8KPTsl1HBgBrqM,Michelle Williams,5150,['hollywood'],64
6Y20PijIkUoCtuvtkz37dO,Austyn Johnson,1908,['show tunes'],53
0vqJkZ0RpLZixt3lTmD8vP,Whethan,170171,"['edm', 'electropop', 'indie pop', 'indie poptimism', 'indietronica', 'pop', 'tropical house', 'vapor soul', 'vapor twitch']",70
6k0IBR0lU42s2GYpNX7kA9,Brian McKnight,831872,"['dance pop', 'neo soul', 'new jack swing', 'quiet storm', 'r&b', 'urban contemporary']",64
3NRFinRTEqUCfaTTZmk8ek,Savage Garden,659993,"['boy band', 'dance pop', 'europop', 'pop rock']",67
4am1I89OWXUzFh4ctRLkdd,Elliott Yamin,79882,[],50
2NzWRNaaLByHyI3wpuec8P,Jim Brickman,65854,"['classify', 'new age', 'new age piano']",59
4TEJudQY2pXxVHPE3gD2EU,BlocBoy JB,1059408,"['rap', 'southern hip hop', 'trap', 'vapor trap']",70
5IcR3N7QB1j6KBL8eImZ8m,ScHoolboy Q,3047243,"['gangster rap', 'hip hop', 'pop rap', 'rap', 'southern hip hop', 'trap', 'underground hip hop']",77
28ExwzUQsvgJooOI0X1mr3,Jay Rock,800578,"['conscious hip hop', 'gangster rap', 'hip hop', 'pop rap', 'rap', 'southern hip hop', 'trap', 'underground hip hop']",72
4qFxP3qN9GsnZDOkAE6x2m,December Avenue,2759759,"['opm', 'pinoy indie', 'pinoy pop punk', 'pinoy rock']",68
5Rl15oVamLq7FbSb0NNBNy,5 Seconds of Summer,5997752,"['boy band', 'dance pop', 'pop', 'post-teen pop']",87
