Position,Track Name,Artist,Streams,URL,Date,Region
61,Wait,Maroon 5,47948,https://open.spotify.com/track/1Qg9jWGDkKAGZXj5v2OG59,2018-02-01,ph
62,There for You,Martin Garrix,47903,https://open.spotify.com/track/6jA8HL9i4QGzsj6fjoxp8Y,2018-02-01,ph
63,Malayo Na Tayo,Silent Sanctuary,47343,https://open.spotify.com/track/1JhRlvSiWkOk8tlUj43ahm,2018-02-01,ph
64,Your Love - Dolce Amore Teleserye Theme,Juris,47035,https://open.spotify.com/track/2PcbtMoqOlGSzOfyJlkB06,2018-02-01,ph
65,ILYSB - STRIPPED,LANY,46358,https://open.spotify.com/track/7j4IOedQQtMpSHEvyXZsHI,2018-02-01,ph
66,Naked,James Arthur,46282,https://open.spotify.com/track/7krbSH3rd8lhIZvuzTV3Bl,2018-02-01,ph
67,Too Much To Ask,Niall Horan,45610,https://open.spotify.com/track/4v094LQ9eF10k2O2Te2ngK,2018-02-01,ph
68,Migraine,Moonstar88,45457,https://open.spotify.com/track/7sW3f7PqDV7BQ7qqeVBJIA,2018-02-01,ph
69,"Balisong (Theme Song of the Movie ""100 Tula Para Kay Stella"")",The Juans,45446,https://open.spotify.com/track/6VCrPY3rpckaEU8KXBITVJ,2018-02-01,ph
70,Dive,Ed Sheeran,44801,https://open.spotify.com/track/51ChrwmUPDJvedPQnIU8Ls,2018-02-01,ph
71,I Fall Apart,Post Malone,44562,https://open.spotify.com/track/75ZvA4QfFiZvzhj2xkaWAh,2018-02-01,ph
72,Hanggang Kailan,Michael Pangilinan,44420,https://open.spotify.com/track/01YEqVPCm0vqRLA9w43bic,2018-02-01,ph
73,Him & I (with Halsey),G-Eazy,44338,https://open.spotify.com/track/5k38wzpLb15YgncyWdTZE4,2018-02-01,ph
74,Anywhere,Rita Ora,43779,https://open.spotify.com/track/7EI6Iki24tBHAMxtb4xQN2,2018-02-01,ph
75,Hiling,Mark Carpio,43419,https://open.spotify.com/track/6xQs6y6CpDqK9VKCktApEL,2018-02-01,ph
76,Versace on the Floor,Bruno Mars,43415,https://open.spotify.com/track/0kN8xEmgMW9mh7UmDYHlJP,2018-02-01,ph
77,That's What I Like,Bruno Mars,43307,https://open.spotify.com/track/0KKkJNfGyhkQ5aFogxQAPU,2018-02-01,ph
78,Kathang Isip,Ben&Ben,42240,https://open.spotify.com/track/3WUEs51GpcvlgU7lehLgLh,2018-02-01,ph
79,Say Something,Justin Timberlake,41870,https://open.spotify.com/track/09ts3GnICqYEU5PkQCpJK3,2018-02-01,ph
80,So Far Away (feat. Jamie Scott & Romy Dya),Martin Garrix,41686,https://open.spotify.com/track/0OlnLZY4cmQzT6ZGttvWBM,2018-02-01,ph
81,The Scientist,Coldplay,41418,https://open.spotify.com/track/75JFxkI2RXiU7L9VXzMkle,2018-02-01,ph
82,Sila,SUD,41292,https://open.spotify.com/track/2IMODbij0lZ5CuAjZi0IDE,2018-02-01,ph
83,The Way I Are (Dance with Somebody) (feat. Lil Wayne) - Spotify Version,Bebe Rexha,41272,https://open.spotify.com/track/6Pw3Gvw4wNMZfTYZa6IQal,2018-02-01,ph
84,My My My!,Troye Sivan,41244,https://open.spotify.com/track/2Tq2R8sRftNEqdgJK5HadO,2018-02-01,ph
85,This Is Me,Keala Settle,40983,https://open.spotify.com/track/2xGjteMU3E1tkEPVFBO08U,2018-02-01,ph
86,"These Days (feat. Jess Glynne, Macklemore & Dan Caplen)",Rudimental,40961,https://open.spotify.com/track/5CLGzJsGqhCEECcpnFQA8x,2018-02-01,ph
87,Location,Khalid,38871,https://open.spotify.com/track/152lZdxL1OR0ZMW6KquMif,2018-02-01,ph
88,Take A Bow,Rihanna,38368,https://open.spotify.com/track/39afswHs17v53znQm1gDTY,2018-02-01,ph
89,rockstar,Post Malone,37838,https://open.spotify.com/track/7wGoVu4Dady5GV0Sv4UIsx,2018-02-01,ph
90,Tip Toe (feat. French Montana),Jason Derulo,37771,https://open.spotify.com/track/2z4pcBLQXF2BXKFvd0BuB6,2018-02-01,ph
91,End Game,Taylor Swift,37699,https://open.spotify.com/track/2x0WlnmfG39ZuDmstl9xfX,2018-02-01,ph
